"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SNUPN",4.15351231288513e-11,0.52775383780198,0.082,0.051,1.08996470114731e-06,"Retinal progenitors","SNUPN"
"PRSS50.11",4.1886312508528e-11,0.867038726265986,0.028,0.012,1.09918061284879e-06,"Retinal progenitors","PRSS50.1"
"FUBP31",4.23377604597858e-11,0.116456104363757,0.325,0.256,1.1110275099857e-06,"Retinal progenitors","FUBP3"
"HILPDA1",4.27150394712921e-11,0.397579650715797,0.078,0.048,1.12092806580565e-06,"Retinal progenitors","HILPDA"
"CBX21",4.32167033843235e-11,0.278799428098465,0.063,0.036,1.13409273021142e-06,"Retinal progenitors","CBX2"
"LINC009541",4.33066146096294e-11,0.453329361078783,0.054,0.029,1.1364521805859e-06,"Retinal progenitors","LINC00954"
"AC078881.12",4.36603929523953e-11,0.215280520557531,0.127,0.086,1.14573603185676e-06,"Retinal progenitors","AC078881.1"
"ORAOV12",4.36750218893496e-11,0.13851477829639,0.158,0.112,1.14611992442031e-06,"Retinal progenitors","ORAOV1"
"ZNF280B1",4.45864793347181e-11,0.514948574420244,0.062,0.036,1.17003839070167e-06,"Retinal progenitors","ZNF280B"
"POLR1C2",4.47817722987355e-11,0.152099845570894,0.237,0.18,1.17516326866342e-06,"Retinal progenitors","POLR1C"
"ZNF4832",4.49375400268518e-11,0.107137996947023,0.138,0.094,1.17925092538464e-06,"Retinal progenitors","ZNF483"
"AC068888.12",4.52002587278911e-11,0.197186223785153,0.166,0.119,1.18614518953732e-06,"Retinal progenitors","AC068888.1"
"AC093627.5",4.61407866053262e-11,0.757066017865355,0.019,0.007,1.21082652209697e-06,"Retinal progenitors","AC093627.5"
"AL356258.11",4.66167347019815e-11,0.392880894048657,0.062,0.036,1.2233163520494e-06,"Retinal progenitors","AL356258.1"
"AC137767.1",4.73355105486498e-11,0.498195101423673,0.032,0.014,1.24217846781767e-06,"Retinal progenitors","AC137767.1"
"AC107081.2",4.74561855710802e-11,0.645942617718743,0.041,0.021,1.24534522175629e-06,"Retinal progenitors","AC107081.2"
"LAT21",4.85960229193171e-11,0.487863697668293,0.085,0.054,1.27525683344872e-06,"Retinal progenitors","LAT2"
"GAS71",4.86035861967864e-11,0.260863503711734,0.144,0.101,1.27545530897607e-06,"Retinal progenitors","GAS7"
"AC007192.2",4.87477690525984e-11,1.2829364123176,0.027,0.012,1.27923895547829e-06,"Retinal progenitors","AC007192.2"
"RNF103-CHMP32",5.03045035084586e-11,0.183916051755756,0.174,0.126,1.32009078106897e-06,"Retinal progenitors","RNF103-CHMP3"
"ERLEC11",5.12526318517124e-11,0.168834412994612,0.136,0.095,1.34497156505264e-06,"Retinal progenitors","ERLEC1"
"ZNF701",5.33423897172249e-11,0.232270307064431,0.113,0.076,1.39981099095942e-06,"Retinal progenitors","ZNF701"
"ZBED5-AS12",5.37237481798782e-11,0.506870019741539,0.05,0.027,1.40981859973636e-06,"Retinal progenitors","ZBED5-AS1"
"ATAD3A",5.41033162006815e-11,0.252759494146707,0.082,0.051,1.41977922373828e-06,"Retinal progenitors","ATAD3A"
